"name";"email";"gpa";"id_number";"emergency_contact";"personal_address";"password"
"Allison Hill";"allison.hill@unc.edu";3.28;"ID0001";"218.196.0013";"386 Shane Harbors, Port Lindachester, KY 20880";"allison97"
"Gabrielle Davis";"gabrielle.davis@unc.edu";3.48;"ID0002";"559-407-8161";"310 Kendra Common Apt. 164, Reidstad, MN 47067";"gabrielle91"
"Mia Sutton";"mia.sutton@unc.edu";2.45;"ID0003";"928-327-6483";"05641 Robin Port, Jasonfort, SD 60643";"mia35"
"David Hoffman";"david.hoffman@unc.edu";3.48;"ID0004";"969-653-2871x012";"166 Rice Plaza Apt. 184, Danielchester, NH 00926";"david44"
"Deborah Mason";"deborah.mason@unc.edu";2.84;"ID0005";"(814)893-2528";"USS George, FPO AA 03053";"deborah66"
"Sherry Decker";"sherry.decker@unc.edu";2.19;"ID0006";"303-911-7182x2782";"83465 Lam Mission Apt. 331, Andrewside, OR 29365";"sherry86"
"Mark Perez";"mark.perez@unc.edu";3.01;"ID0007";"5183473829";"6311 Gomez Loop, Shieldston, SD 85197";"mark75"
"Nicholas Mcbride";"nicholas.mcbride@unc.edu";3.12;"ID0008";"333-872-6247";"8108 Tanya Terrace, East Richard, IL 53066";"nicholas20"
"James Galloway";"james.galloway@unc.edu";3.09;"ID0009";"746-872-3430x980";"97882 Susan Common, North Brooke, IA 53424";"james67"
"Laura Riley";"laura.riley@unc.edu";2.9;"ID0010";"9169985435";"47510 Howell Port Apt. 183, Davidstad, CA 32519";"laura23"
"Jeffrey Daniels";"jeffrey.daniels@unc.edu";2.01;"ID0011";"980-841-2411x8244";"48740 Cynthia Village Suite 005, Lake Tina, WA 58413";"jeffrey62"
"Kristina Rodriguez";"kristina.rodriguez@unc.edu";3.4;"ID0012";"001-280-598-2620x450";"PSC 3315, Box 8692, APO AE 21800";"kristina38"
"Sierra Johnson";"sierra.johnson@unc.edu";2.43;"ID0013";"001-563-421-6073x3754";"03654 Tammy Harbors, Darlenefurt, ND 43905";"sierra55"
"Shawn Green";"shawn.green@unc.edu";2.76;"ID0014";"001-401-965-5698";"0608 Michael Cliff, Cindyville, ME 66970";"shawn76"
"Erika Terry";"erika.terry@unc.edu";3.21;"ID0015";"+1-236-629-9468";"3699 Marshall Mills Apt. 872, West Zacharymouth, WV 31285";"erika95"
"Robert Hernandez";"robert.hernandez@unc.edu";3.46;"ID0016";"3791769367";"016 Gregory Square, Williamsbury, DE 60330";"robert82"
"Mary Travis";"mary.travis@unc.edu";3.84;"ID0017";"+1-579-868-7277x434";"347 Jennifer Freeway Suite 558, East Edwardfurt, FL 93092";"mary71"
"Jason Daniels";"jason.daniels@unc.edu";3.1;"ID0018";"(036)690-9670x54668";"3467 Paul Skyway, Ramseymouth, DC 82061";"jason69"
"James Elliott";"james.elliott@unc.edu";3.72;"ID0019";"1627204653";"4641 Smith Plains Apt. 531, Port Anthonybury, AK 81940";"james18"
"John Wilson";"john.wilson@unc.edu";2.14;"ID0020";"745.299.1241";"663 Brittany Village Apt. 149, Port Tonyaton, ND 56649";"john16"
"Jonathan Peterson";"jonathan.peterson@unc.edu";2.58;"ID0021";"(716)572-6284x98776";"3147 Karen Port Suite 507, Hunterborough, KS 45109";"jonathan50"
"Meredith Hill";"meredith.hill@unc.edu";3.71;"ID0022";"8313678377";"43634 Kennedy Pines, Ronaldside, MI 92625";"meredith47"
"David Martinez";"david.martinez@unc.edu";2.76;"ID0023";"518.233.7498";"43524 Jean Crossroad, Brandonton, LA 91912";"david59"
